match_num,sense,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
1,appearance_1_noun_3,0.6924544000009442,-0.1568421052631579,0.21478128075343697,3,0.012218626161071722,0.6257523244742149,0.00012613956662437813,0.42588142
2,what_1_determiner_3,0.6418446709554174,-0.3427841338555624,0.22020619599332855,3,-0.6120715360497626,1.0461627389619936,0.0003357671917338304,0.3992966711521148
3,nurse_1_noun_2,0.6119761470432578,-0.05714285714285714,0.2979882342414251,4,0.5993855294096138,0.3073670715008543,2.903932469050432e-05,0.3737588226795196
4,rise_1_noun_4,0.5217422448791564,-0.7030910609857978,0.5253066625567532,11,0.4928433844664952,0.14421593107899078,0.0002695212322837433,0.5833127
5,distinguish_1_verb_2,0.6980828609780789,0.10158730158730159,0.15032888770109334,3,-0.24729548994973038,0.6406415287872447,6.261604386389995e-05,0.44641578
6,save_1_noun_2,0.6034727531809218,-0.3427841338555624,0.3546919045797736,5,0.009141476642815949,0.5382604068254775,0.00028041097904260435,0.4456269145011902
7,blind_1_verb_2,0.708128423770148,0.05729323308270677,0.20916402708322535,6,0.25816802457603094,0.9716607985374086,6.80609172433695e-05,0.3668068349361419
8,lady_1_noun_3,0.6769816249756413,-0.3427841338555624,0.20032979696399877,4,0.5111826120499074,0.8132983217951155,0.0005771565782235608,0.46902418
9,exercise_1_noun_3,0.6756461131420386,-0.7384962406015038,0.332803134617432,6,-0.23983405092096577,0.0005819755873721633,0.00020055283614379548,0.29902503
10,position_1_noun_6,0.6995299682408215,-0.18947368421052632,0.24575957331514137,5,-0.295257538001898,0.023486873455706103,5.626369158785212e-05,0.2650461792945862
11,discretion_1_noun_1,0.6690255066833943,-0.8204511278195488,0.16385655278200534,2,-0.5320015987772231,0.33247553515054307,4.900386041522605e-05,0.28072938
12,purpose_1_noun_1,0.7028178625534391,-0.2673684210526316,0.16442799455370868,3,-0.5463389292465757,0.4845966146074483,0.00031035778262968267,0.4013943
13,impatient_1_adjective_2,0.7078797306757019,-0.398796992481203,0.08561969540010794,2,-0.45092197391230604,0.4019762825003479,3.085428248366084e-05,0.4127729
14,stand_1_verb_6,0.6106425938976623,0.2562406015037594,0.3797642582552016,9,0.3671067376147277,0.08835906940752558,0.00018694065269512158,0.5395360589027405
15,press_2_noun_1,0.5990105312555143,0.1493233082706767,0.4826180738067348,10,0.3392002924328863,0.05300746533361789,0.00014156670786620855,0.2654663622379303
16,conviction_1_noun_2,0.7464286917455505,-0.46599832915622386,0.20207420242313734,2,-0.611381293919564,0.7928241072501887,5.0818818208382564e-05,0.3264609
17,necessary_1_adjective_2,0.7177424141939731,-0.3306766917293233,0.23341966246742726,3,-0.5898707890688373,0.20581609450142846,0.00030037551476724784,0.36834934
18,melancholy_1_adjective_1,0.7642178090998245,-0.5617376775271512,0.051655417474472776,2,-0.3265991073970693,1.5726526776762113,6.624595945021298e-05,0.30294085
19,hunger_1_verb_2,0.6236090106303867,-0.3427841338555624,0.09579406122474998,2,0.1332810240851212,0.03793665053829631,2.3594451311034762e-05,0.40017036
20,most_1_adverb_3,0.7045118697315385,0.06992481203007513,0.2849466917539415,5,-0.667152490175206,0.5606370694044056,0.0003148951771125695,0.3852518
21,suite_1_noun_3,0.5357732505149018,-0.3427841338555624,0.21860694830979166,1,0.3905942213503253,0.44654162657092833,1.81495779315652e-06,0.4337282180786133
22,class_1_verb_1,0.650565681665801,-0.24327485380116956,0.3783960152015289,4,-0.204611189504468,0.11820768538689208,0.0001315844400038477,0.4065889418125152
23,drive_1_noun_6,0.6620811326085236,-0.3044277360066833,0.3298705176282145,5,0.5261517317331141,0.12652611451055584,0.00014519662345252165,0.4880978167057037
24,reduce_1_verb_6,0.6479023213611391,-0.1847953216374269,0.27049017532125835,4,-0.028480093935717044,0.11827326798356541,7.350579062283907e-05,0.3995830118656158
25,seal_1_noun_3,0.6938034020772936,-0.2673684210526316,0.2811958002966895,7,0.7435525417091737,0.30897999352680117,4.5373944828913005e-05,0.3801900446414947
26,complexion_1_noun_2,0.642459209973689,-0.3427841338555624,0.15500746337157573,2,-0.023233069498152847,0.6191826732177059,2.087201462129998e-05,0.34469992
27,expression_1_noun_1,0.7337924363204322,-0.2477861319966583,0.17788957553044385,3,-0.036439403051651276,0.29679809649930355,0.00011071242538254774,0.3993080854415893
